Subject	Sex	Trial	TrialType	Item	Phonology	Novelty	UttCode	Experiment
201	F	1	filler	strong	non-A	real	A	2
201	F	2	critical	agask	A	novel	A	2
201	F	3	filler	old	non-A	real	A	2
201	F	4	critical	asleep	A	real	A	2
201	F	5	filler	gambles	non-A	real	RC	2
201	F	6	critical	chammy	non-A	novel	A	2
201	F	7	filler	bad	non-A	real	A	2
201	F	8	critical	afraz	A	novel	RC	2
201	F	9	filler	young	non-A	real	A	2
201	F	10	critical	living	non-A	real	A	2
201	F	11	filler	snowboards	non-A	real	RC	2
201	F	12	critical	frightened	non-A	real	A	2
201	F	13	filler	fast	non-A	real	A	2
201	F	14	critical	alive	A	real	RC	2
201	F	15	filler	bites	non-A	real	RC	2
201	F	16	critical	floating	non-A	real	A	2
201	F	17	filler	slow	non-A	real	A	2
201	F	18	critical	slooky	non-A	novel	RC	2
201	F	19	filler	golfs	non-A	real	RC	2
201	F	20	critical	ablim	A	novel	RC	2
201	F	21	filler	weak	non-A	real	A	2
201	F	22	critical	sleepy	non-A	real	A	2
201	F	23	filler	cheats	non-A	real	RC	2
201	F	24	critical	afloat	A	real	RC	2
201	F	25	filler	good	non-A	real	A	2
201	F	26	critical	flitzy	non-A	novel	RC	2
201	F	27	filler	smokes	non-A	real	RC	2
201	F	28	critical	afraid	A	real	A	2
201	F	29	filler	lies	non-A	real	RC	2
201	F	30	critical	gecky	non-A	novel	A	2
201	F	31	filler	votes	non-A	real	RC	2
201	F	32	critical	adax	A	novel	RC	2
202	F	1	filler	votes	non-A	real	RC	2
202	F	2	critical	alive	A	real	A	2
202	F	3	filler	good	non-A	real	A	2
202	F	4	critical	afraid	A	real	A	2
202	F	5	filler	lies	non-A	real	RC	2
202	F	6	critical	living	non-A	real	A	2
202	F	7	filler	weak	non-A	real	A	2
202	F	8	critical	adax	A	novel	RC	2
202	F	9	filler	slow	non-A	real	A	2
202	F	10	critical	chammy	non-A	novel	A	2
202	F	11	filler	smokes	non-A	real	RC	2
202	F	12	critical	asleep	A	real	RC	2
202	F	13	filler	cheats	non-A	real	RC	2
202	F	14	critical	afraz	A	novel	RC	2
202	F	15	filler	fast	non-A	real	A	2
202	F	16	critical	afloat	A	real	RC	2
202	F	17	filler	young	non-A	real	A	2
202	F	18	critical	gecky	non-A	novel	A	2
202	F	19	filler	bad	non-A	real	A	2
202	F	20	critical	frightened	non-A	real	A	2
202	F	21	filler	golfs	non-A	real	RC	2
202	F	22	critical	flitzy	non-A	novel	A	2
202	F	23	filler	bites	non-A	real	RC	2
202	F	24	critical	sleepy	non-A	real	A	2
202	F	25	filler	old	non-A	real	A	2
202	F	26	critical	ablim	A	novel	RC	2
202	F	27	filler	snowboards	non-A	real	RC	2
202	F	28	critical	slooky	non-A	novel	A	2
202	F	29	filler	gambles	non-A	real	RC	2
202	F	30	critical	agask	A	novel	RC	2
202	F	31	filler	strong	non-A	real	A	2
202	F	32	critical	floating	non-A	real	RC	2
203	F	1	filler	lies	non-A	real	RC	2
203	F	2	critical	adax	A	novel	A	2
203	F	3	filler	golfs	non-A	real	RC	2
203	F	4	critical	ablim	A	novel	A	2
203	F	5	filler	votes	non-A	real	RC	2
203	F	6	critical	chammy	non-A	novel	A	2
203	F	7	filler	bad	non-A	real	A	2
203	F	8	critical	living	non-A	real	A	2
203	F	9	filler	smokes	non-A	real	RC	2
203	F	10	critical	gecky	non-A	novel	A	2
203	F	11	filler	good	non-A	real	A	2
203	F	12	critical	alive	A	real	RC	2
203	F	13	filler	old	non-A	real	A	2
203	F	14	critical	flitzy	non-A	novel	A	2
203	F	15	filler	young	non-A	real	A	2
203	F	16	critical	asleep	A	real	RC	2
203	F	17	filler	snowboards	non-A	real	RC	2
203	F	18	critical	floating	non-A	real	A	2
203	F	19	filler	fast	non-A	real	A	2
203	F	20	critical	slooky	non-A	novel	A	2
203	F	21	filler	gambles	non-A	real	RC	2
203	F	22	critical	afloat	A	real	RC	2
203	F	23	filler	slow	non-A	real	A	2
203	F	24	critical	sleepy	non-A	real	A	2
